,1,2,3,4,5,6,7
8,0.5,0.265625,0.265625,0.171875,0.234375,0.3125,0.25
9,0.25,0.203125,0.1875,0.15625,0.1875,0.25,0.203125
10,0.125,0.25,0.1875,0.203125,0.15625,0.171875,0.25
11,0.25,0.28125,0.234375,0.375,0.328125,0.21875,0.265625
12,0.109375,0.265625,0.375,0.296875,0.203125,0.203125,0.28125
13,0.265625,0.265625,0.25,0.1875,0.203125,0.3125,0.296875
14,0.296875,0.234375,0.21875,0.1875,0.21875,0.3125,0.28125
15,0.15625,0.125,0.125,0.109375,0.171875,0.140625,0.171875
16,0.15625,0.125,0.125,0.109375,0.171875,0.140625,0.171875
17,0.46875,0.265625,0.265625,0.171875,0.234375,0.3125,0.265625
