,mean,median
g10377,0.009038751775568182,0.0
g10379,0.0,0.0
g10455,0.004239169034090909,0.0
g10457,0.004386208274147727,0.0
g10459,0.005129727450284091,0.0
g10461,0.0,0.0
g10463,0.004605379971590909,0.0
g10465,0.010201194069602272,0.0
g10628,0.018013694069602272,0.0
g10801,0.008966619318181818,0.0
g11163,0.0005409934303977273,0.0
g11206,0.017356178977272728,0.0
g11489,0.0,0.0
g1957,0.0,0.0
g2355,0.011363636363636364,0.0
g2601,0.0,0.0
g2602,0.0,0.0
g2603,0.0,0.0
g2604,0.0,0.0
g2605,0.0,0.0
g2606,0.0,0.0
g2607,0.0,0.0
g2608,0.0,0.0
g2609,0.0,0.0
g2610,0.0,0.0
g2611,0.0,0.0
g2612,0.0,0.0
g2648,0.0,0.0
g2986,0.0,0.0
g3007,0.0,0.0
g3069,0.0,0.0
g3327,0.011363636363636364,0.0
g4171,0.011363636363636364,0.0
g4172,0.0,0.0
g4173,0.0,0.0
g4174,0.0,0.0
g4175,0.0,0.0
g4176,0.0,0.0
g4177,0.0,0.0
g4178,0.0,0.0
g4179,0.0,0.0
g4180,0.0,0.0
g4181,0.0,0.0
g4191,0.011363636363636364,0.0
g4192,0.011363636363636364,0.0
g4193,0.011363636363636364,0.0
g4194,0.011363636363636364,0.0
g4195,0.011363636363636364,0.0
g4196,0.011363636363636364,0.0
g4197,0.011363636363636364,0.0
g4198,0.011363636363636364,0.0
g4199,0.011363636363636364,0.0
g4200,0.011363636363636364,0.0
g4201,0.011363636363636364,0.0
g4202,0.011363636363636364,0.0
g4203,0.011363636363636364,0.0
g4204,0.011363636363636364,0.0
g4205,0.011363636363636364,0.0
g4206,0.011363636363636364,0.0
g4207,0.020108309659090908,0.0
g4208,0.011363636363636364,0.0
g4209,0.011363636363636364,0.0
g4210,0.011363636363636364,0.0
g4211,0.011363636363636364,0.0
g4212,0.011363636363636364,0.0
g4213,0.011363636363636364,0.0
g4214,0.011363636363636364,0.0
g4215,0.011363636363636364,0.0
g4216,0.011363636363636364,0.0
g4887,0.011363636363636364,0.0
g4888,0.011363636363636364,0.0
g5101,0.011363636363636364,0.0
g5105,0.011363636363636364,0.0
g5658,0.008347944779829546,0.0
g5659,0.008655894886363636,0.0
g5816,0.0,0.0
g6253,0.011363636363636364,0.0
g6254,0.011363636363636364,0.0
g6255,0.011363636363636364,0.0
g6256,0.011363636363636364,0.0
g6257,0.011363636363636364,0.0
